ticker,cik,year_new,filing_date,risk_update_intensity,vagueness_ratio,risk_financing,risk_regulatory,beta,car_d-3,car_d-2,car_d-1,car_d+0,car_d+1,car_d+2,car_d+3
GS,886982,2022,2022-02-25,2,0.7777777777777778,1,1,1.0168898374754574,0.006896006536782243,0.016916539561896614,-0.0017828504814756847,0.005497761746637731,-0.018764824249938247,-0.03539177144944907,-0.02795470531815489
GS,886982,2023,2023-02-24,1,0.8333333333333334,0,0,0.8779467766198441,-0.0027844926514631885,-0.003606228818830282,-0.0012573574285208822,0.0077979319611613945,0.008776353174571833,-0.027651705789630786,-0.03389992178306404
UNH,731766,2016,2016-02-09,7,0.7647058823529411,7,2,0.7657127604465982,0.010273382296651996,0.0037460206143113232,0.0017061315102774362,0.014604132174317172,0.028796652218465273,0.01935268500360509,0.014972915338044195
UNH,731766,2017,2017-02-08,0,,0,0,0.9068644284619101,-0.000952015468464542,-0.007676258336080562,-0.007843210742315851,-0.011105778864786411,-0.01696289506753739,-0.019534325879549792,-0.016821625262787777
UNH,731766,2018,2018-02-13,9,0.5714285714285714,5,2,1.3357549127582296,0.004718664041302653,0.008926905300874716,0.012497536942454045,0.012660502303349336,0.0027420375894715247,-0.024341223657942043,-0.010187134122681192
UNH,731766,2019,2019-02-12,6,0.3,4,1,1.0124400878841715,0.006137905591276526,-0.021846946689358517,-0.04223139986369079,-0.030950000213976783,-0.033560362321892995,-0.027251413860256264,-0.017292955995903705
UNH,731766,2020,2020-02-14,0,1.0,1,0,0.937570214483488,0.009139680110350882,0.04600289929639337,0.04173893505221281,0.028094862476193926,0.04039279295317354,0.04525841079238726,0.03651313761092597
UNH,731766,2021,2021-03-01,8,0.5384615384615384,0,10,0.91414319787608,-0.0011136449856242042,0.014177136230640156,0.02889927583365131,0.01459486440222994,0.0238280384814583,0.03296163676949926,0.052063031606030784
UNH,731766,2022,2022-02-15,7,0.3571428571428571,0,10,0.7128091454456763,-0.012325240852310146,-0.018469517893050704,-0.0244200819997075,-0.030000245019807754,-0.027505830495661573,-0.0336855173145974,-0.034242380093891175
UNH,731766,2023,2023-02-24,9,0.4285714285714285,0,11,0.4047299181254266,-0.006666725192930278,-0.010724339260650273,-0.006346063819861357,-0.016580292979729152,-0.019389114545354576,-0.03299281540428561,-0.032604558720949514
CSCO,858877,2016,2016-09-08,0,,0,0,1.1555219120201423,0.0008956486866652817,-0.001989297543827261,-0.005671552460428038,-0.013559949354082425,-0.004584917761290906,-0.001098151494471844,0.004905143862303146
CSCO,858877,2017,2017-09-07,8,0.3846153846153846,3,3,1.1918238566135868,0.0004451273967570799,-0.010475965780028356,-0.005321674846806669,-0.0076853274475760045,-0.013936310290001105,-0.002549487608327952,0.0011073222080826856
CSCO,858877,2018,2018-09-06,2,0.4285714285714285,4,0,1.3846757632900542,0.013031291818472967,0.01560512215757228,0.011114335903837322,0.01711742388003224,0.015833569338016232,0.013407895875517922,0.00838347238331432
CSCO,858877,2019,2019-09-05,7,0.3529411764705882,3,3,1.4285641072477604,-0.00968200444571705,-0.005046066341860923,-0.0017687112450643864,0.004759227382451601,0.014020791605166958,0.008818215364812297,0.021032357890822008
CSCO,858877,2020,2020-09-03,5,0.2857142857142857,2,6,0.9158042321908764,0.002549026381269213,-0.00907977977097988,-0.010255786894546237,-0.013126902829469376,-0.008269569917798512,-0.003167644716031582,-0.017443576316343697
CSCO,858877,2021,2021-09-09,10,0.3125,0,7,0.9690310673324406,-0.0026791299996760456,-0.00863976808929907,-0.009560595056169496,-0.009056942564392028,-0.014997008916187195,-0.014172117137884757,-0.013004644135600957
CSCO,858877,2022,2022-09-08,12,0.3571428571428571,0,10,0.7916235711547803,-0.007799638992997659,-0.00569599719571985,-0.006911688226371421,-0.004099015320005125,-0.007603275131093668,-0.0014958721080805546,-0.017863140071267554
CSCO,858877,2023,2023-09-07,9,0.5714285714285714,0,4,0.7246621855778379,0.005961540943443552,-0.00019797533709898195,0.0021165438615366105,-0.0021452748374224387,-0.005562429798619579,-0.00783121157711307,-0.012864543767855886
TJX,109198,2016,2016-03-29,0,1.0,0,9,0.7927835250252215,0.00581969669172897,-0.0023036284510018473,0.004841280408068452,0.006623536486205306,0.003330064860158269,-0.000690906659879211,0.0005844433596437831
TJX,109198,2017,2017-03-28,0,1.0,0,0,0.7702862751778178,-0.002719539069075673,-0.0024047327299922382,-0.0030760337948009795,-0.003719991499749611,0.006927624817999165,0.006125276378664083,-0.0016106345601641396
TJX,109198,2018,2018-04-04,0,,0,0,0.5984129446387562,0.0018928464863945775,0.0015746444015535353,0.015823994542938327,0.028708125918879134,0.0352311659591721,0.02845535877189565,0.01596776818796279
TJX,109198,2019,2019-04-03,0,,0,0,0.8801731323911286,-0.002194310856250902,-0.011810125463583496,-0.01384816895864309,-0.014119398872364384,0.004762396651540518,-0.0020433575198964124,0.0013819533037633326
TJX,109198,2020,2020-03-27,8,0.7272727272727273,3,4,0.8019050505390114,0.04265872556951496,0.10324526712340117,0.14482792634053832,0.14678120977691084,0.13916843529602368,0.1541283679781558,0.12315006820483407
TJX,109198,2021,2021-03-31,3,0.6,0,8,1.1010235497249972,-0.0019264118749016228,-0.0036204150838246305,0.0116998742940552,0.0002042502173700972,-0.01622344034668581,-0.001615648095063248,-0.0035112719233992657
TJX,109198,2022,2022-03-30,0,,0,0,1.1061613592250554,0.0167251401966636,0.021363762184001482,0.042178882741033034,0.014538709676744577,0.007544731507031329,0.007535988930294425,0.017543799056851758
TJX,109198,2023,2023-03-29,2,0.625,1,5,0.6402131678553542,-0.0009157620897579117,0.002744001967302869,0.013178983811813594,0.007704689355446895,0.007763116518236844,0.016160968969571598,0.019444151145900083
AMGN,318154,2016,2016-02-16,8,0.6,0,2,1.2918132105614943,0.010334214930564347,0.008741725316928125,0.004940821698951756,-0.001951723179570073,0.0004686294595250759,-0.006663166932279574,-0.0017118781435922327
