cik,ticker,year_old,year_new,n_classified,risk_update_intensity,boilerplate_ratio,vagueness_ratio,n_added_total,similarity,added_ratio,risk_operational,risk_cyber,risk_regulatory,risk_supply_chain,risk_financing,risk_macroeconomic,risk_other,sector,company_name
1800,ABT,2020,2021,0,0,,,3835,0.015,0.9793,0,0,0,0,0,0,0,Health Care,Abbott Laboratories
1800,ABT,2021,2022,0,0,,,631,0.1473,0.4275,0,0,0,0,0,0,0,Health Care,Abbott Laboratories
1800,ABT,2022,2023,79,0,0.0,,84,0.0436,0.497,0,0,0,0,0,0,0,Health Care,Abbott Laboratories
70858,BAC,2015,2016,186,4,0.010752688172043012,0.5,211,0.199,0.4648,0,0,4,0,0,1,1,Financials,Bank of America
70858,BAC,2016,2017,211,7,0.018957345971563982,0.36363636363636365,249,0.1127,0.5804,9,0,1,0,0,1,0,Financials,Bank of America
70858,BAC,2017,2018,166,5,0.006024096385542169,0.6666666666666666,182,0.1474,0.4184,2,0,3,0,1,0,0,Financials,Bank of America
70858,BAC,2018,2019,223,2,0.004484304932735426,0.3333333333333333,241,0.4968,0.5117,1,0,2,0,0,0,0,Financials,Bank of America
70858,BAC,2019,2020,243,3,0.0,0.6666666666666666,277,0.3256,0.5496,0,0,2,0,1,0,0,Financials,Bank of America
70858,BAC,2020,2021,292,9,0.010273972602739725,0.6666666666666666,325,0.165,0.619,5,0,2,0,1,4,0,Financials,Bank of America
70858,BAC,2021,2022,275,11,0.014545454545454545,0.3333333333333333,295,0.2378,0.5194,9,0,3,0,1,2,0,Financials,Bank of America
70858,BAC,2022,2023,309,6,0.009708737864077669,0.5555555555555556,340,0.0213,0.6925,4,0,4,0,1,0,0,Financials,Bank of America
723254,CVS,2015,2016,17,0,0.0,,17,0.7956,0.1382,0,0,0,0,0,0,0,Health Care,CVS Health
723254,CVS,2016,2017,21,0,0.047619047619047616,1.0,22,0.7898,0.1732,0,0,0,0,1,0,0,Health Care,CVS Health
723254,CVS,2017,2018,18,0,0.0,,21,0.8948,0.1533,0,0,0,0,0,0,0,Health Care,CVS Health
723254,CVS,2018,2019,12,1,0.9166666666666666,0.75,13,0.8078,0.0977,4,0,3,2,1,2,0,Health Care,CVS Health
723254,CVS,2019,2020,35,1,0.4,0.6,38,0.6992,0.2714,3,5,2,1,3,1,0,Health Care,CVS Health
723254,CVS,2020,2021,26,4,0.07692307692307693,0.3333333333333333,28,0.5146,0.1972,1,0,5,0,0,0,0,Health Care,CVS Health
723254,CVS,2021,2022,32,9,0.09375,0.75,34,0.8058,0.2179,4,0,6,0,2,0,0,Health Care,CVS Health
723254,CVS,2022,2023,20,0,0.0,,23,0.6315,0.1494,0,0,0,0,0,0,0,Health Care,CVS Health
200406,JNJ,2015,2016,1,0,1.0,1.0,1,0.9874,0.3333,0,0,0,0,0,0,1,Health Care,Johnson & Johnson
200406,JNJ,2016,2017,102,0,0.0196078431372549,1.0,117,0.0291,0.9915,0,2,0,0,0,0,0,Health Care,Johnson & Johnson
200406,JNJ,2017,2018,31,7,0.12903225806451613,0.36363636363636365,36,0.8384,0.2903,3,2,2,3,0,1,0,Health Care,Johnson & Johnson
200406,JNJ,2018,2019,33,8,0.15151515151515152,0.46153846153846156,37,0.7455,0.2803,0,2,1,8,0,2,0,Health Care,Johnson & Johnson
200406,JNJ,2019,2020,19,0,0.0,,21,0.8478,0.1533,0,0,0,0,0,0,0,Health Care,Johnson & Johnson
200406,JNJ,2020,2021,77,14,0.03896103896103896,0.29411764705882354,78,0.3934,0.4699,6,6,2,1,0,2,0,Health Care,Johnson & Johnson
200406,JNJ,2021,2022,88,4,0.045454545454545456,0.75,98,0.7598,0.4949,0,4,4,0,0,0,0,Health Care,Johnson & Johnson
200406,JNJ,2022,2023,53,11,0.03773584905660377,0.6153846153846154,55,0.8131,0.2535,1,4,5,1,1,1,0,Health Care,Johnson & Johnson
32604,EMR,2015,2016,23,1,0.08695652173913043,0.6666666666666666,24,0.2277,0.4,0,3,0,0,0,0,0,Industrials,Emerson Electric
32604,EMR,2016,2017,16,6,0.625,0.875,19,0.8256,0.3016,3,1,1,2,5,4,0,Industrials,Emerson Electric
32604,EMR,2017,2018,33,6,0.21212121212121213,0.5384615384615384,36,0.6025,0.4615,5,7,1,0,0,0,0,Industrials,Emerson Electric
32604,EMR,2018,2019,17,3,0.8235294117647058,0.47058823529411764,17,0.8299,0.2073,3,2,9,1,1,1,0,Industrials,Emerson Electric
32604,EMR,2019,2020,33,11,0.06060606060606061,0.5384615384615384,37,0.4104,0.3776,3,0,6,0,1,3,0,Industrials,Emerson Electric
32604,EMR,2020,2021,25,3,0.08,0.8,28,0.6416,0.2593,1,0,1,1,0,1,1,Industrials,Emerson Electric
32604,EMR,2021,2022,29,7,0.06896551724137931,0.6666666666666666,30,0.5695,0.2679,5,0,4,0,0,0,0,Industrials,Emerson Electric
32604,EMR,2022,2023,26,3,0.11538461538461539,0.6666666666666666,26,0.6338,0.2364,1,0,3,0,0,2,0,Industrials,Emerson Electric
320193,AAPL,2015,2016,31,6,0.16129032258064516,0.45454545454545453,43,0.2286,0.1558,2,1,4,2,1,1,0,Information Technology,Apple Inc.
320193,AAPL,2016,2017,59,0,0.0,,61,0.8048,0.2218,0,0,0,0,0,0,0,Information Technology,Apple Inc.
320193,AAPL,2017,2018,128,5,0.0234375,0.75,139,0.2801,0.4826,1,0,1,1,4,1,0,Information Technology,Apple Inc.
320193,AAPL,2018,2019,91,5,0.06593406593406594,0.7272727272727273,101,0.3727,0.3582,3,0,1,1,5,1,0,Information Technology,Apple Inc.
320193,AAPL,2019,2020,75,8,0.09333333333333334,0.4666666666666667,80,0.4955,0.2623,4,0,3,3,2,3,0,Information Technology,Apple Inc.
320193,AAPL,2020,2021,172,4,0.046511627906976744,0.6666666666666666,180,0.0571,0.5521,0,0,3,2,0,7,0,Information Technology,Apple Inc.
320193,AAPL,2021,2022,79,0,0.0,,87,0.037,0.2536,0,0,0,0,0,0,0,Information Technology,Apple Inc.
320193,AAPL,2022,2023,78,0,0.0,,84,0.1728,0.2593,0,0,0,0,0,0,0,Information Technology,Apple Inc.
50863,INTC,2015,2016,36,10,0.16666666666666666,0.625,41,0.7274,0.1925,5,2,6,1,2,0,0,Information Technology,Intel Corp.
50863,INTC,2016,2017,54,12,0.037037037037037035,0.42857142857142855,66,0.4202,0.2895,9,0,1,3,1,0,0,Information Technology,Intel Corp.
78003,PFE,2015,2016,207,3,0.01932367149758454,0.8571428571428571,230,0.0882,0.6037,4,0,1,0,0,1,1,Health Care,Pfizer Inc.
78003,PFE,2016,2017,122,1,0.00819672131147541,1.0,137,0.6514,0.4295,1,0,0,0,0,0,1,Health Care,Pfizer Inc.
78003,PFE,2017,2018,121,0,0.008264462809917356,1.0,144,0.6877,0.4034,0,0,0,0,0,0,1,Health Care,Pfizer Inc.
78003,PFE,2018,2019,203,2,0.0049261083743842365,0.3333333333333333,240,0.61,0.5505,2,0,0,0,0,0,1,Health Care,Pfizer Inc.
78003,PFE,2019,2020,175,8,0.04,0.8,214,0.6195,0.4612,2,0,2,0,3,3,5,Health Care,Pfizer Inc.
78003,PFE,2020,2021,197,3,0.07106598984771574,0.5294117647058824,229,0.1619,0.8035,8,0,1,0,2,2,4,Health Care,Pfizer Inc.
78003,PFE,2021,2022,122,1,0.00819672131147541,0.5,132,0.6071,0.4314,0,0,2,0,0,0,0,Health Care,Pfizer Inc.
78003,PFE,2022,2023,124,1,0.024193548387096774,0.75,135,0.6592,0.4299,2,0,1,0,0,0,1,Health Care,Pfizer Inc.
804328,QCOM,2015,2016,148,7,0.006756756756756757,0.625,158,0.402,0.5267,0,0,7,1,0,0,0,Information Technology,Qualcomm Inc.
804328,QCOM,2016,2017,179,0,0.0,,184,0.5305,0.514,0,0,0,0,0,0,0,Information Technology,Qualcomm Inc.
804328,QCOM,2017,2018,140,0,0.0,,151,0.4785,0.4092,0,0,0,0,0,0,0,Information Technology,Qualcomm Inc.
804328,QCOM,2018,2019,252,10,0.007936507936507936,0.25,266,0.1005,0.6394,3,5,0,0,2,2,0,Information Technology,Qualcomm Inc.
804328,QCOM,2019,2020,268,6,0.007462686567164179,0.25,283,0.0263,0.6803,1,0,7,0,0,0,0,Information Technology,Qualcomm Inc.
804328,QCOM,2020,2021,191,10,0.005235602094240838,0.2727272727272727,195,0.2678,0.4493,0,0,9,0,1,0,1,Information Technology,Qualcomm Inc.
804328,QCOM,2021,2022,173,9,0.023121387283236993,0.46153846153846156,177,0.6171,0.3986,0,0,10,0,1,2,0,Information Technology,Qualcomm Inc.
