cik,ticker,year_old,year_new,n_classified,risk_update_intensity,boilerplate_ratio,vagueness_ratio,n_added_total,similarity,added_ratio,risk_operational,risk_cyber,risk_regulatory,risk_supply_chain,risk_financing,risk_macroeconomic,risk_other,sector,company_name,roa,rev_growth,leverage,current_ratio,log_assets,roa_t1,rev_growth_t1,leverage_t1,current_ratio_t1,annual_ret,annual_ret_t1
354950,HD,2019,2020,79,52.0,0.3417721518987341,0.5189873417721519,84,0.6195,0.3925,30,6,14,11,6,8,4,Consumer Discretionary,Home Depot,0.182287017752653,0.1985484236788388,0.5834148000170017,1.2292583959250627,11.164516265448528,0.2286298625410429,0.1441753084550754,0.5837414435973065,1.012616317568745,0.2454955021656159,0.5949925661978716
354950,HD,2020,2021,153,59.679999999999836,0.4052287581699346,0.5098039215686274,161,0.2608,0.6122,79,18,15,12,9,18,2,Consumer Discretionary,Home Depot,0.2286298625410429,0.1441753084550754,0.5837414435973065,1.012616317568745,11.182697691046345,0.2237556413107463,0.0413212752303895,0.6303616979527765,1.4050627434011251,0.5949925661978716,-0.2198303517645005
354950,HD,2021,2022,125,3.0,0.016,0.4,127,0.2025,0.4792,1,0,1,1,0,2,0,Consumer Discretionary,Home Depot,0.2237556413107463,0.0413212752303895,0.6303616979527765,1.4050627434011251,11.244326806994714,0.1978701162942636,-0.0300756656480498,0.6510518750816673,1.3524869407222349,-0.2198303517645005,0.1277322412990494
354950,HD,2022,2023,138,0.0,0.0,,142,0.1222,0.5379,0,0,0,0,0,0,0,Consumer Discretionary,Home Depot,0.1978701162942636,-0.0300756656480498,0.6510518750816673,1.3524869407222349,11.245438099803966,0.154038223452179,0.044835559281845,0.5838387831750226,1.1054394473326123,0.1277322412990494,0.1498650446165009
40533,GE,2015,2016,37,3.0,0.3783783783783784,0.8235294117647058,46,0.6832,0.4,3,4,1,0,5,0,4,Industrials,General Electric,0.0898941348259917,-0.0036861673392862,0.0908980287174495,1.2024754787482486,10.400376510563246,0.0830907949552017,-0.0121200523075941,0.1135650288192661,1.3991907779219788,0.0458962565833976,-0.4216928290091151
40533,GE,2016,2017,23,0.0,0.1304347826086956,1.0,25,0.6784,0.2137,0,2,0,0,0,0,1,Industrials,General Electric,0.0830907949552017,-0.0121200523075941,0.1135650288192661,1.3991907779219788,10.464416763268364,0.0736654334038054,0.1685338843508863,0.2576418252290345,1.2340728679014858,-0.429222054065228,-0.4216928290091151
40533,GE,2017,2018,12,6.0,0.5,0.5833333333333334,15,0.7676,0.1293,2,4,1,1,2,1,1,Industrials,General Electric,0.0736654334038054,0.1685338843508863,0.2576418252290345,1.2340728679014858,10.723443579959769,0.0713335107798775,0.0872268118144392,0.2159660940603181,1.1773108743527172,-0.5538953300148183,0.5352409839792347
40533,GE,2018,2019,24,2.0,0.0833333333333333,0.25,28,0.8637,0.224,2,2,0,0,0,0,0,Industrials,General Electric,0.0713335107798775,0.0872268118144392,0.2159660940603181,1.1773108743527172,10.796325403035503,0.0617252670148904,-0.0362134688691232,0.2221680829500273,1.349473816086194,0.5352409839792347,-0.0272425550391646
40533,GE,2019,2020,17,0.0,0.0,,23,0.4325,0.1933,0,0,0,0,0,0,0,Industrials,General Electric,0.0617252670148904,-0.0362134688691232,0.2221680829500273,1.349473816086194,10.84560196441974,0.065045034249995,0.0143441001977586,0.2363149801290116,1.429889826870797,-0.0272425550391646,0.0968514042520913
40533,GE,2020,2021,23,0.0,0.1304347826086956,1.0,28,0.6951,0.2171,1,0,0,0,0,1,1,Industrials,General Electric,0.065045034249995,0.0143441001977586,0.2363149801290116,1.429889826870797,10.821237219646529,0.0657167781331782,0.0243832696456887,0.2049626829504701,1.3729874193338114,0.0968514042520913,-0.1091704789771538
40533,GE,2021,2022,21,0.0,0.0476190476190476,1.0,28,0.6495,0.209,0,0,0,0,0,0,1,Industrials,General Electric,0.0657167781331782,0.0243832696456887,0.2049626829504701,1.3729874193338114,10.850986211534476,0.0604816639299397,0.0727028192960641,0.1870279146141215,1.437134858812074,-0.1091704789771538,0.8870000731117467
40533,GE,2022,2023,54,9.0,0.0925925925925925,0.7142857142857143,64,0.6551,0.4539,2,0,4,0,1,2,5,Industrials,General Electric,0.0604816639299397,0.0727028192960641,0.1870279146141215,1.437134858812074,10.911627938040162,0.067680744452398,0.1287850113550341,0.1584645669291338,1.3681552962298025,0.9665824696715748,0.6530201639216928
60667,LOW,2015,2016,92,3.0,0.0978260869565217,0.5833333333333334,99,0.2191,0.6781,3,1,3,0,5,0,0,Consumer Discretionary,Lowe's Companies,0.0898337595907928,0.1006026339844941,0.4183329458265519,1.002171371304493,10.446044374463572,0.0976736278371256,0.0554008951504991,0.4410189566745062,1.0558862433862437,-0.0487548500572763,0.3325483120681812
60667,LOW,2016,2017,58,0.0,0.0,,59,0.3804,0.4214,0,0,0,0,0,0,0,Consumer Discretionary,Lowe's Companies,0.0976736278371256,0.0554008951504991,0.4410189566745062,1.0558862433862437,10.471383252907115,0.067056914338704,0.0392019702997712,0.417033731308682,0.9814444367800236,0.3325483120681812,0.0122441590920889
