gvkey,cik,fyear,datadate,ni,at,sale,dltt,act,lct,ceq,sich,roa,leverage,current_ratio,log_assets,rev_growth
008007,0000072971,2020,2020-12-31,3301.0,1955163.0,80303.0,186635.0,,,164626.0,6020,0.0016883502807694295,0.0954575142839753,,14.4859841238851,-0.21619669506993455
008007,0000072971,2021,2021-12-31,21548.0,1948068.0,81732.0,149394.0,,,168195.0,6020,0.011061215522250763,0.07668828808850615,,14.482348670172897,0.017795101054755014
008007,0000072971,2022,2022-12-31,13182.0,1881016.0,82859.0,158828.0,,,160870.0,6020,0.007007914871537509,0.08443734662544072,,14.44732261436076,0.013788968824939962
008007,0000072971,2023,2023-12-31,19142.0,1932468.0,115340.0,181549.0,,,166287.0,6020,0.009905468033623325,0.09394670442149625,,14.474308500445037,0.39200328268504325
008007,0000072971,2024,2024-12-31,19722.0,1929845.0,125397.0,159327.0,,,160512.0,6020,0.010219473584666126,0.08255948016550552,,14.472950246775147,0.08719438182763994
008530,0000078003,2014,2014-12-31,9136.0,169274.0,49605.0,31541.0,57702.0,21631.0,71272.0,2834,0.053971667237732904,0.18633103725321076,2.6675604456566964,12.039273982789505,
008530,0000078003,2015,2015-12-31,6960.0,167460.0,48851.0,28818.0,43804.0,29399.0,64694.0,2834,0.041562164098889284,0.1720888570404873,1.4899826524711726,12.028499795758423,-0.015200080637032598
008530,0000078003,2016,2016-12-31,7215.0,171615.0,52824.0,31398.0,38949.0,31115.0,59520.0,2834,0.04204177956472337,0.18295603531159862,1.2517756708982806,12.053008874803155,0.08132893901864846
008530,0000078003,2017,2017-12-31,21308.0,171797.0,52546.0,33538.0,41142.0,30427.0,71287.0,2834,0.12403010529869556,0.19521877564800316,1.3521543366089328,12.054068826214518,-0.005262759351809754
008530,0000078003,2018,2018-12-31,11153.0,159422.0,53647.0,32909.0,49926.0,31858.0,63388.0,2834,0.06995897680370337,0.20642696741980404,1.5671416912549438,11.979310053380576,0.02095306969131805
008530,0000078003,2019,2019-12-31,16273.0,167489.0,51750.0,37003.0,32803.0,37304.0,63126.0,2834,0.09715861937201846,0.22092794153645912,0.8793426978340124,12.02867295644899,-0.035360784386824995
008530,0000078003,2020,2020-12-31,9616.0,154229.0,41908.0,38247.0,35067.0,25920.0,63238.0,2834,0.062348844899467674,0.24798838091409528,1.3528935185185185,11.946193789873778,-0.1901835748792271
008530,0000078003,2021,2021-12-31,21979.0,181476.0,81288.0,38705.0,59693.0,42671.0,77201.0,2834,0.12111243360003526,0.21327889087262228,1.3989126104380023,12.108878692538742,0.939677388565429
008530,0000078003,2022,2022-12-31,31372.0,197205.0,100330.0,35482.0,51259.0,42138.0,95661.0,2834,0.1590831875459547,0.17992444410638675,1.216455455883051,12.191999075798813,0.2342535183544927
008530,0000078003,2023,2023-12-31,2119.0,226501.0,61996.0,64165.0,43333.0,47794.0,89014.0,2834,0.009355367084472033,0.28328793250360923,0.9066619240908901,12.330504638906516,-0.382079138841822
008530,0000078003,2024,2024-12-31,8031.0,213396.0,62856.0,59691.0,50358.0,42995.0,88203.0,2834,0.03763425743687792,0.27971939492773995,1.1712524712175834,12.270904873531661,0.013871862700819415
010499,0000097476,2014,2014-12-31,2821.0,17722.0,13045.0,3641.0,7768.0,2662.0,10390.0,3674,0.15918067938155964,0.20545085204830155,2.9181066867017282,9.782562084607248,
010499,0000097476,2015,2015-12-31,2986.0,16230.0,13000.0,3120.0,7074.0,2555.0,9946.0,3674,0.1839802834257548,0.1922365988909427,2.768688845401174,9.694616660508636,-0.003449597546952843
010499,0000097476,2016,2016-12-31,3595.0,16431.0,13370.0,2978.0,7457.0,2264.0,10473.0,3674,0.2187937435335646,0.181242772807498,3.293727915194346,9.706925073451831,0.028461538461538538
010499,0000097476,2017,2017-12-31,3682.0,17642.0,14961.0,3577.0,8734.0,2258.0,10337.0,3674,0.20870649586214715,0.2027547897063825,3.8680248007085916,9.778037701818713,0.1189977561705311
010499,0000097476,2018,2018-12-31,5580.0,17137.0,15784.0,4319.0,8097.0,2474.0,8994.0,3674,0.32561125051059114,0.25202777615685357,3.272837510105093,9.74899514766085,0.05500969186551696
010499,0000097476,2019,2019-12-31,5017.0,18018.0,14383.0,5562.0,8761.0,2123.0,8907.0,3674,0.27844377844377843,0.3086913086913087,4.12670748940179,9.799126537211386,-0.08876077040040542
010499,0000097476,2020,2020-12-31,5595.0,19351.0,14461.0,6497.0,10239.0,2390.0,9187.0,3674,0.28913234458167536,0.3357449227430107,4.284100418410042,9.870499376709148,0.005423068900785699
010499,0000097476,2021,2021-12-31,7769.0,24676.0,18344.0,7624.0,13685.0,2569.0,13333.0,3674,0.3148403306856865,0.3089641757172962,5.3269754768392374,10.113586390329528,0.2685153170596777
010499,0000097476,2022,2022-12-31,8749.0,27207.0,20028.0,8579.0,14021.0,2985.0,14577.0,3674,0.321571654353659,0.31532326239570696,4.69715242881072,10.211229572115677,0.09180113388573918
010499,0000097476,2023,2023-12-31,6510.0,32348.0,17519.0,11102.0,15122.0,3320.0,16897.0,3674,0.2012489180165698,0.3432051440583653,4.554819277108434,10.384307474215714,-0.12527461553824648
010499,0000097476,2024,2024-12-31,4799.0,35509.0,15641.0,13509.0,15026.0,3643.0,16903.0,3674,0.13514883550649132,0.380438762003999,4.124622563821027,10.477541464459218,-0.10719789942348312
010530,0000097745,2014,2014-12-31,1894.4,42852.1,16889.6,12351.6,6539.8,5349.8,20548.1,3826,0.0442078684591887,0.28823791599478205,1.222438221989607,10.665509930993093,
010530,0000097745,2015,2015-12-31,1975.4,40889.0,16965.4,11473.9,5741.2,4147.3,21350.2,3826,0.0483112817628213,0.28061092225292866,1.3843223301907264,10.61861635720246,0.004487968927624264
010530,0000097745,2016,2016-12-31,2021.8,45907.5,18274.1,15372.4,7021.0,4865.8,21539.3,3826,0.044040734084844525,0.3348559603550618,1.4429281926918491,10.734383781393335,0.07713935421504936
010530,0000097745,2017,2017-12-31,2225.0,56669.0,20918.0,18873.0,9421.0,7048.0,25413.0,3826,0.039263089166916655,0.3330392277965025,1.3366912599318956,10.94498260298715,0.14468017576789016
010530,0000097745,2018,2018-12-31,2938.0,56232.0,24358.0,17719.0,10625.0,6147.0,27586.0,3826,0.0522478304168445,0.31510527813344713,1.728485440052058,10.937241268855741,0.16445166841954295
