ticker,permno,year,annual_ret,trading_days
F,25785,2014,0.0371423191691388,252
F,25785,2015,-0.05441658534737151,252
F,25785,2016,-0.07902851573447398,252
F,25785,2017,0.0872654925374868,251
F,25785,2018,-0.3429421661267495,251
F,25785,2019,0.2961261525333015,252
F,25785,2020,-0.03883928822561834,253
F,25785,2021,1.3750061649864194,252
F,25785,2022,-0.4219040297090485,251
F,25785,2023,0.1578746461146069,250
F,25785,2024,-0.13150361441893704,252
FDX,60628,2014,0.21391371992087838,252
FDX,60628,2015,-0.137033493699838,252
FDX,60628,2016,0.26067767215407095,252
FDX,60628,2017,0.3521819399611047,251
FDX,60628,2018,-0.34662162033481286,251
FDX,60628,2019,-0.04775670329475005,252
FDX,60628,2020,0.7433138484105759,253
FDX,60628,2021,0.007177991608287834,252
FDX,60628,2022,-0.31662244588227806,251
FDX,60628,2023,0.49140141568278173,250
FDX,60628,2024,0.13482341084701915,252
GE,12060,2014,-0.06698739619080908,252
GE,12060,2015,0.2753920373270335,252
GE,12060,2016,0.04589625658339768,252
GE,12060,2017,-0.42922205406522806,251
GE,12060,2018,-0.5538953300148183,251
GE,12060,2019,0.5352409839792347,252
GE,12060,2020,-0.027242555039164618,253
GE,12060,2021,0.09685140425209138,252
GE,12060,2022,-0.1091704789771538,251
GE,12060,2023,0.9665824696715749,250
GE,12060,2024,0.6530201639216928,252
GM,12369,2014,-0.11535530751443454,252
GM,12369,2015,0.014268237196004266,252
GM,12369,2016,0.07456486076420538,252
GM,12369,2017,0.22501653521648055,251
GM,12369,2018,-0.1504968570169263,251
GM,12369,2019,0.14013064233318195,252
GM,12369,2020,0.15207955684928426,253
GM,12369,2021,0.408028388707816,252
GM,12369,2022,-0.42363475583270366,251
GM,12369,2023,0.07906640962154622,250
GM,12369,2024,0.4984127575566121,252
GS,86868,2014,0.10784285663288803,252
GS,86868,2015,-0.05789966982601289,252
GS,86868,2016,0.34906414091812804,252
GS,86868,2017,0.07737975527041552,251
GS,86868,2018,-0.3352117671728754,251
GS,86868,2019,0.4046348027637614,252
GS,86868,2020,0.17477351855268902,253
GS,86868,2021,0.47590191708841467,252
GS,86868,2022,-0.07864431314458455,251
GS,86868,2023,0.15912950044747998,250
GS,86868,2024,0.5202519523883892,252
HD,66181,2014,0.3025395494810271,252
HD,66181,2015,0.2854375268830025,252
HD,66181,2016,0.03543063942819337,252
HD,66181,2017,0.44612058862362214,251
HD,66181,2018,-0.07315877186777671,251
HD,66181,2019,0.30543751564919003,252
HD,66181,2020,0.24549550216561597,253
HD,66181,2021,0.5949925661978716,252
HD,66181,2022,-0.21983035176450058,251
HD,66181,2023,0.12773224129904948,250
HD,66181,2024,0.1498650446165009,252
HON,10145,2014,0.11545225855828546,252
HON,10145,2015,0.057985014740161454,252
HON,10145,2016,0.1499028749895991,252
HON,10145,2017,0.35088994884354036,251
HON,10145,2018,-0.08404228617291204,251
HON,10145,2019,0.3671894909392885,252
HON,10145,2020,0.2296969483037798,253
HON,10145,2021,-0.0028704751688008235,252
HON,10145,2022,0.04882697852220546,251
HON,10145,2023,0.00021952142480729207,250
HON,10145,2024,0.09999338007089019,252
HPQ,27828,2014,0.46030149569199386,252
HPQ,27828,2015,-0.37938689565838557,252
HPQ,27828,2016,0.3009448031417831,252
HPQ,27828,2017,0.4566974242447836,251
HPQ,27828,2018,-0.0020512442724363936,251
HPQ,27828,2019,0.03860086212851618,252
HPQ,27828,2020,0.2405962930684606,253
HPQ,27828,2021,0.5725804370325408,252
HPQ,27828,2022,-0.26379580247290757,251
HPQ,27828,2023,0.16090767240006185,250
HPQ,27828,2024,0.12094005315126577,252
IBM,12490,2014,-0.12394186810980597,252
IBM,12490,2015,-0.11411305942797852,252
IBM,12490,2016,0.2518960955497044,252
IBM,12490,2017,-0.039831253610956144,251
IBM,12490,2018,-0.2253830404111441,251
IBM,12490,2019,0.23571426303880968,252
IBM,12490,2020,-0.011909963119309,253
IBM,12490,2021,0.16439431824435163,252
IBM,12490,2022,0.10704115603637107,251
IBM,12490,2023,0.21878152529457964,250
IBM,12490,2024,0.39272352775267344,252
INTC,59328,2014,0.4430164271861687,252
INTC,59328,2015,-0.02213546449393787,252
INTC,59328,2016,0.0878266430519996,252
INTC,59328,2017,0.30841577979618723,251
INTC,59328,2018,0.042126303864776726,251
INTC,59328,2019,0.30701567502750465,252
